Case 0: 1	 0.000000 0.001000 0.999000 0.000000 0.001000 1.000000 1.000000 0.999000
Case 0: 2	 0.000000 0.002000 0.998000 0.000000 0.002000 1.000000 1.000000 0.998000
Case 0: 3	 0.000000 0.003000 0.997000 0.000000 0.003000 1.000000 1.000000 0.997000
Case 0: 4	 0.000000 0.004000 0.996000 0.000000 0.004000 1.000000 1.000000 0.996000
Case 0: 5	 0.000000 0.005000 0.995000 0.000000 0.005000 1.000000 1.000000 0.995000
Case 0: 6	 0.000000 0.006000 0.994000 0.000000 0.006000 1.000000 1.000000 0.994000
Case 0: 7	 0.000000 0.007000 0.993000 0.000000 0.007000 1.000000 1.000000 0.993000
Case 0: 8	 0.000000 0.008000 0.992000 0.000000 0.008000 1.000000 1.000000 0.992000
Case 0: 9	 0.000000 0.009000 0.991000 0.000000 0.009000 1.000000 1.000000 0.991000
Case 0: 10	 0.000000 0.010000 0.990000 0.000000 0.010000 1.000000 1.000000 0.990000
Case 0: 11	 0.000000 0.011000 0.989000 0.000000 0.011000 1.000000 1.000000 0.989000
Case 0: 12	 0.000000 0.012000 0.988000 0.000000 0.012000 1.000000 1.000000 0.988000
Case 0: 13	 0.000000 0.013000 0.987000 0.000000 0.013000 1.000000 1.000000 0.987000
Case 0: 14	 0.000000 0.014000 0.986000 0.000000 0.014000 1.000000 1.000000 0.986000
Case 0: 15	 0.000000 0.015000 0.985000 0.000000 0.015000 1.000000 1.000000 0.985000
Case 0: 16	 0.000000 0.016000 0.984000 0.000000 0.016000 1.000000 1.000000 0.984000
Case 0: 17	 0.000000 0.017000 0.983000 0.000000 0.017000 1.000000 1.000000 0.983000
Case 0: 18	 0.000000 0.018000 0.982000 0.000000 0.018000 1.000000 1.000000 0.982000
Case 0: 19	 0.000000 0.019000 0.981000 0.000000 0.019000 1.000000 1.000000 0.981000
Case 0: 20	 0.000000 0.020000 0.980000 0.000000 0.020000 1.000000 1.000000 0.980000
